vehicle,line_code,date
BA123,226,2019-03-08
BN617,229,2019-03-08
BA134,231,2019-03-08
BA141,231,2019-03-08
BA001,232,2019-03-08
BA121,232,2019-03-08
BA140,232,2019-03-08
BA122,232,2019-03-08
BA136,232,2019-03-08
BA039,232,2019-03-08
BA125,233,2019-03-08
CA010,233,2019-03-08
BA131,233,2019-03-08
BA031,233,2019-03-08
BA142,233,2019-03-08
BA002,236,2019-03-08
BA120,236,2019-03-08
BA136,236,2019-03-08
BA131,236,2019-03-08
BA128,242,2019-03-08
BA132,242,2019-03-08
BA133,242,2019-03-08
BA137,243,2019-03-08
BA299,243,2019-03-08
BC938,244,2019-03-08
BN605,244,2019-03-08
BN626,244,2019-03-08
BI870,244,2019-03-08
BA699,245,2019-03-08
BA604,245,2019-03-08
BA603,245,2019-03-08
BA118,245,2019-03-08
BL300,256,2019-03-08
BL305,256,2019-03-08
BL304,256,2019-03-08
BL316,256,2019-03-08
BL311,256,2019-03-08
BL493,256,2019-03-08
BL307,256,2019-03-08
BI869,260,2019-03-08
BI863,260,2019-03-08
HN612,265,2019-03-08
HN604,265,2019-03-08
HI856,265,2019-03-08
HI855,265,2019-03-08
HA311,265,2019-03-08
BI878,266,2019-03-08
BI876,266,2019-03-08
BI851,266,2019-03-08
BN621,266,2019-03-08
BC918,270,2019-03-08
BI861,270,2019-03-08
BN605,270,2019-03-08
BN626,270,2019-03-08
BI862,271,2019-03-08
BN609,271,2019-03-08
BI866,271,2019-03-08
BN621,272,2019-03-08
BI865,272,2019-03-08
BI867,272,2019-03-08
BN616,272,2019-03-08
BI868,274,2019-03-08
BN615,274,2019-03-08
BN619,274,2019-03-08
BN629,274,2019-03-08
BI871,280,2019-03-08
BN629,280,2019-03-08
BI872,280,2019-03-08
BN610,280,2019-03-08
BI860,285,2019-03-08
BN627,285,2019-03-08
BI874,285,2019-03-08
BS001,294,2019-03-08
BS014,296,2019-03-08
BS018,297,2019-03-08
BS297,298,2019-03-08
DE841,302,2019-03-08
DE846,302,2019-03-08
DE722,302,2019-03-08
DE849,302,2019-03-08
DE712,302,2019-03-08
DE842,302,2019-03-08
DE717,303,2019-03-08
DE701,303,2019-03-08
DE711,303,2019-03-08
DE718,303,2019-03-08
DE708,303,2019-03-08
DE716,303,2019-03-08
DE706,303,2019-03-08
DE714,303,2019-03-08
DE720,303,2019-03-08
DE713,303,2019-03-08
DE700,303,2019-03-08
DE719,303,2019-03-08
DE703,303,2019-03-08
DE710,303,2019-03-08
DE715,303,2019-03-08
DE709,303,2019-03-08
DE712,303,2019-03-08
DE848,303,2019-03-08
DE702,303,2019-03-08
DE849,303,2019-03-08
DL302,304,2019-03-08
DL311,304,2019-03-08
DL039,304,2019-03-08
DL303,304,2019-03-08
DL314,304,2019-03-08
DL313,304,2019-03-08
DL309,304,2019-03-08
DL317,304,2019-03-08
DL304,304,2019-03-08
DL310,305,2019-03-08
EL057,305,2019-03-08
DL301,305,2019-03-08
DL041,305,2019-03-08
EL058,305,2019-03-08
CL302,307,2019-03-08
CL306,307,2019-03-08
BL314,307,2019-03-08
BL328,307,2019-03-08
CL300,307,2019-03-08
CL304,307,2019-03-08
DC093,309,2019-03-08
BA036,311,2019-03-08
DA016,321,2019-03-08
DA033,322,2019-03-08
DA300,322,2019-03-08
DA022,322,2019-03-08
DA010,323,2019-03-08
EA174,323,2019-03-08
DA029,323,2019-03-08
DA022,323,2019-03-08
DA033,323,2019-03-08
DA850,331,2019-03-08
DA009,332,2019-03-08
DA015,332,2019-03-08
DA019,332,2019-03-08
DA020,334,2019-03-08
DA023,334,2019-03-08
DR407,335,2019-03-08
